Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM
1,Gonzaga,36.59,126.0,89.4,74.7,0.018000000000000002,7.93,105.9,98.0,6.34
2,Illinois,30.7,118.8,88.1,70.6,0.026000000000000002,18.27,112.4,94.1,9.99
3,Michigan,30.5,119.3,88.8,66.8,0.026000000000000002,16.75,111.3,94.6,2.73
4,Baylor,29.93,123.0,93.0,68.7,0.047,9.64,106.3,96.7,-3.71
5,Houston,29.68,119.6,89.9,65.0,-0.011000000000000001,6.82,103.9,97.1,1.99
6,Iowa,28.72,123.5,94.7,69.9,-0.027999999999999997,16.85,110.4,93.5,-5.13
7,Alabama,24.87,111.7,86.9,73.8,0.031,14.25,109.7,95.5,9.15
8,Loyola Chicago,24.63,111.5,86.9,64.0,-0.017,5.16,104.8,99.7,5.54
9,Ohio St.,24.19,120.8,96.6,67.0,-0.012,18.19,111.7,93.5,2.84
10,Wisconsin,23.59,113.5,89.9,64.8,-0.049,18.12,111.7,93.6,1.39
11,USC,22.81,113.2,90.4,67.2,-0.006,11.89,108.5,96.6,5.2
12,Villanova,22.77,118.7,96.0,64.7,-0.001,13.08,108.8,95.7,7.6
13,Virginia,22.66,115.6,92.9,60.0,0.046,12.2,109.8,97.6,0.18
14,Colorado,22.35,114.8,92.4,66.3,-0.033,11.61,108.2,96.6,2.44
15,Connecticut,21.98,113.7,91.7,65.9,-0.066,12.83,108.0,95.2,-1.96
16,Texas Tech,21.93,112.6,90.6,65.3,-0.084,12.17,108.3,96.1,-5.12
17,Arkansas,21.9,111.5,89.6,73.1,0.057,11.4,108.4,97.0,-4.45
18,Florida St.,21.85,116.3,94.5,70.5,-0.011000000000000001,12.48,108.9,96.4,4.42
19,Kansas,21.44,109.9,88.5,68.1,0.042,15.3,110.3,95.0,10.35
20,Creighton,21.39,115.0,93.6,69.0,0.001,12.77,108.0,95.2,-0.95
21,West Virginia,21.14,117.2,96.1,69.4,-0.042,15.12,109.3,94.1,14.2
22,Purdue,21.09,113.6,92.5,66.3,0.01,17.07,111.2,94.2,5.77
23,Texas,20.98,114.1,93.2,69.1,0.017,14.58,109.3,94.7,8.19
24,BYU,20.83,113.0,92.2,67.9,0.045,10.33,107.9,97.6,8.75
25,St. Bonaventure,20.61,111.2,90.6,65.1,0.013999999999999999,8.24,105.9,97.7,2.7
26,Tennessee,19.74,108.0,88.2,67.4,-0.013000000000000001,12.59,108.4,95.8,-0.45
27,LSU,19.55,119.8,100.3,70.7,0.002,13.63,107.9,94.2,1.17
