Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
1,Villanova,33.76,127.8,94.0,68.7,-0.018000000000000002,11.31,111.3,100.0,3.98,2018
2,Virginia,29.53,115.2,85.6,59.4,0.048,9.24,110.0,100.7,-0.08,2018
3,Duke,28.86,122.4,93.6,69.7,-0.034,10.6,110.4,99.8,4.09,2018
4,Cincinnati,26.6,113.4,86.8,64.5,-0.019,3.46,106.9,103.4,-4.21,2018
5,Purdue,26.27,122.7,96.4,67.2,0.006,9.02,109.1,100.1,0.69,2018
6,Michigan St.,25.41,119.2,93.8,67.0,0.038,6.64,108.6,101.9,-5.03,2018
7,Michigan,24.2,114.7,90.5,64.9,0.052000000000000005,10.32,111.4,101.1,-4.83,2018
8,North Carolina,23.59,120.3,96.7,71.2,-0.011000000000000001,13.26,111.6,98.3,7.58,2018
9,Kansas,23.49,120.9,97.4,68.8,0.076,12.41,111.7,99.3,3.55,2018
10,Gonzaga,23.03,118.1,95.1,69.4,0.009000000000000001,1.57,106.4,104.8,3.12,2018
11,Texas Tech,22.59,113.3,90.8,66.7,-0.006999999999999999,10.31,110.7,100.4,-5.24,2018
12,West Virginia,22.44,119.4,96.9,69.2,-0.013999999999999999,10.59,109.9,99.3,-4.72,2018
13,Tennessee,22.27,114.6,92.4,66.0,0.019,11.01,111.2,100.2,7.1,2018
14,Clemson,21.65,114.2,92.6,66.1,-0.009000000000000001,10.22,110.6,100.4,-1.91,2018
15,Xavier,21.51,120.1,98.6,70.5,0.091,9.35,109.9,100.6,1.84,2018
16,Ohio St.,21.16,116.0,94.9,67.0,0.02,8.75,109.8,101.1,0.26,2018
17,Kentucky,20.44,115.8,95.4,68.8,-0.008,10.91,110.8,99.8,4.67,2018
18,Houston,20.24,114.6,94.4,68.4,-0.015,3.9,106.6,102.7,-3.08,2018
19,Penn St.,19.18,114.3,95.1,67.3,-0.05,7.6,109.7,102.1,-6.36,2018
20,Butler ,19.05,116.2,97.2,67.6,-0.047,11.21,112.0,100.8,0.11,2018
21,Wichita St.,19.03,121.0,101.9,68.6,-0.026000000000000002,5.13,107.3,102.2,1.55,2018
