Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year,TeamID,WTeamID,WScore,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,Luck_x,SOS_AdjEM_x,SOS_OppO_x,SOS_OppD_x,NCSOS_AdjEM_x,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LTeamID,LScore,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,Luck_y,SOS_AdjEM_y,SOS_OppO_y,SOS_OppD_y,NCSOS_AdjEM_y,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
1,villanova,32.01,122.8,90.8,66.0,0.023,10.74,110.5,99.7,2.98,2016.0,1437.0,1437.0,77.9655172413793,32.01,122.80000000000004,90.8,66.0,0.02300000000000001,10.740000000000006,110.5,99.69999999999996,2.98,26.82758620689655,56.3448275862069,8.551724137931034,24.27586206896552,15.758620689655173,20.17241379310345,9.172413793103447,27.344827586206893,16.482758620689655,11.06896551724138,6.655172413793102,3.5172413793103448,17.17241379310345,1265.7241379310346,60.72413793103448,32.01,122.80000000000004,90.8,66.0,0.02300000000000001,10.740000000000006,110.5,99.69999999999996,2.98,21.482758620689655,56.0,6.793103448275862,21.344827586206893,10.965517241379311,16.862068965517242,10.448275862068966,22.62068965517241,12.20689655172414,13.965517241379311,5.827586206896553,2.2413793103448274,19.689655172413797
2,north carolina,29.82,124.4,94.6,70.5,-0.055,11.45,111.7,100.2,3.13,2016.0,1314.0,1314.0,84.28571428571429,29.820000000000014,124.40000000000006,94.59999999999997,70.5,-0.054999999999999986,11.449999999999996,111.69999999999996,100.19999999999996,3.1299999999999994,31.75,65.46428571428571,5.4642857142857135,17.428571428571427,15.321428571428573,20.928571428571427,14.357142857142858,27.214285714285715,18.678571428571427,10.75,7.5,4.357142857142857,17.25,1300.0357142857142,68.07142857142857,29.820000000000014,124.40000000000006,94.59999999999997,70.5,-0.054999999999999986,11.449999999999996,111.69999999999996,100.19999999999996,3.1299999999999994,24.392857142857146,59.85714285714285,7.75,21.821428571428577,11.535714285714285,16.785714285714285,11.0,21.071428571428573,11.464285714285715,14.321428571428573,5.571428571428571,3.0357142857142856,18.392857142857142
3,kansas,29.67,120.0,90.4,69.0,0.044000000000000004,12.61,111.4,98.8,3.62,2016.0,1242.0,1242.0,81.89655172413794,29.66999999999999,120.0,90.40000000000003,69.0,0.04400000000000002,12.610000000000007,111.40000000000006,98.80000000000004,3.620000000000001,28.724137931034484,57.6551724137931,8.413793103448276,19.344827586206893,16.03448275862069,22.551724137931036,10.689655172413792,26.96551724137931,16.103448275862068,12.448275862068966,6.896551724137932,4.310344827586206,18.448275862068964,1313.8965517241381,65.75862068965517,29.66999999999999,120.0,90.40000000000003,69.0,0.04400000000000002,12.610000000000007,111.40000000000006,98.80000000000004,3.620000000000001,22.58620689655172,57.58620689655172,5.862068965517241,18.55172413793104,14.724137931034482,20.82758620689655,11.0,21.379310344827584,10.758620689655173,13.758620689655173,6.206896551724138,3.310344827586207,20.689655172413797
4,virginia,29.64,120.6,91.0,61.3,-0.04,12.67,112.1,99.5,4.98,2016.0,1438.0,1438.0,72.30769230769229,29.63999999999999,120.59999999999994,91.0,61.29999999999997,-0.040000000000000015,12.669999999999998,112.09999999999994,99.5,4.980000000000003,26.19230769230769,51.69230769230769,6.153846153846153,14.153846153846152,13.769230769230768,18.346153846153847,8.73076923076923,23.34615384615385,14.961538461538463,9.461538461538463,5.769230769230768,2.9615384615384617,15.730769230769232,1289.8461538461538,57.730769230769226,29.63999999999999,120.59999999999994,91.0,61.29999999999997,-0.040000000000000015,12.669999999999998,112.09999999999994,99.5,4.980000000000003,20.26923076923077,49.46153846153846,6.307692307692308,19.03846153846154,10.884615384615383,15.653846153846152,8.115384615384615,19.26923076923077,9.576923076923077,12.538461538461537,5.230769230769232,2.230769230769231,17.5
5,michigan st.,27.97,123.4,95.5,66.5,-0.012,7.19,107.5,100.3,0.4,2016.0,1277.0,1277.0,81.20689655172414,27.970000000000013,123.40000000000006,95.5,66.5,-0.012000000000000005,7.189999999999999,107.5,100.30000000000004,0.4000000000000002,29.24137931034483,59.06896551724138,9.413793103448276,21.27586206896552,13.310344827586205,18.03448275862069,12.0,30.58620689655172,21.379310344827584,11.758620689655173,4.482758620689656,5.379310344827586,18.41379310344828,1271.0689655172416,60.862068965517246,27.970000000000013,123.40000000000006,95.5,66.5,-0.012000000000000005,7.189999999999999,107.5,100.30000000000004,0.4000000000000002,21.03448275862069,57.93103448275862,5.482758620689656,19.310344827586206,13.310344827586205,18.724137931034484,9.137931034482758,20.17241379310345,10.413793103448276,9.517241379310343,5.275862068965517,2.862068965517241,17.655172413793107
6,kentucky,25.14,121.8,96.6,67.4,-0.046,8.37,108.6,100.3,3.19,2016.0,1246.0,1246.0,81.84615384615384,25.13999999999999,121.80000000000004,96.59999999999997,67.40000000000003,-0.04600000000000001,8.370000000000003,108.59999999999994,100.3,3.1899999999999986,29.34615384615385,59.115384615384606,6.846153846153847,18.0,16.307692307692307,23.538461538461537,13.192307692307693,25.84615384615385,14.846153846153848,11.076923076923077,5.846153846153847,5.884615384615384,19.23076923076923,1242.2307692307693,64.34615384615384,25.13999999999999,121.80000000000004,96.59999999999997,67.40000000000003,-0.04600000000000001,8.370000000000003,108.59999999999994,100.3,3.1899999999999986,22.07692307692308,56.730769230769226,4.961538461538462,16.807692307692307,15.230769230769232,21.846153846153847,11.615384615384615,19.5,7.884615384615384,13.153846153846152,4.115384615384615,2.8846153846153846,20.884615384615387
7,louisville,24.68,113.4,88.8,66.1,-0.025,7.49,110.4,102.9,-7.4,2016.0,1257.0,1257.0,79.69565217391305,24.68,113.40000000000003,88.79999999999997,66.09999999999998,-0.02500000000000001,7.49,110.40000000000003,102.90000000000003,-7.400000000000002,29.695652173913047,59.82608695652174,6.391304347826088,16.956521739130434,13.91304347826087,20.43478260869565,13.26086956521739,26.73913043478261,14.695652173913045,11.304347826086955,7.391304347826088,5.173913043478262,18.347826086956523,1302.5652173913045,58.08695652173913,24.68,113.40000000000003,88.79999999999997,66.09999999999998,-0.02500000000000001,7.49,110.40000000000003,102.90000000000003,-7.400000000000002,19.82608695652174,53.78260869565217,5.260869565217392,18.47826086956522,13.173913043478262,19.82608695652174,10.608695652173912,20.52173913043478,9.91304347826087,14.956521739130435,5.434782608695652,2.347826086956522,19.130434782608692
8,west virginia,24.45,115.3,90.9,69.5,0.003,11.24,110.9,99.6,0.72,2016.0,1452.0,1452.0,83.65384615384616,24.450000000000006,115.30000000000004,90.90000000000003,69.5,0.0030000000000000014,11.240000000000002,110.90000000000006,99.59999999999997,0.7200000000000001,28.461538461538463,60.884615384615394,6.461538461538463,18.53846153846154,20.26923076923077,29.923076923076927,16.192307692307693,24.30769230769231,16.115384615384613,13.730769230769232,10.5,2.769230769230769,23.19230769230769,1297.7692307692307,64.0,24.450000000000006,115.30000000000004,90.90000000000003,69.5,0.0030000000000000014,11.240000000000002,110.90000000000006,99.59999999999997,0.7200000000000001,20.153846153846157,48.769230769230774,5.269230769230768,17.346153846153847,18.423076923076927,26.423076923076927,8.73076923076923,21.423076923076927,10.038461538461537,19.5,6.846153846153847,3.3076923076923075,23.923076923076927
9,purdue,23.85,116.9,93.1,67.9,-0.046,7.43,109.1,101.7,-2.67,2016.0,1345.0,1345.0,81.5,23.85000000000001,116.90000000000006,93.09999999999997,67.90000000000003,-0.04600000000000001,7.430000000000005,109.09999999999994,101.7,-2.6700000000000013,28.30769230769231,58.30769230769231,7.961538461538463,20.76923076923077,16.923076923076927,22.384615384615387,12.346153846153848,30.23076923076923,18.576923076923077,11.730769230769232,4.4230769230769225,5.038461538461538,16.26923076923077,1315.7307692307693,61.884615384615394,23.85000000000001,116.90000000000006,93.09999999999997,67.90000000000003,-0.04600000000000001,7.430000000000005,109.09999999999994,101.7,-2.6700000000000013,22.84615384615385,60.5,5.769230769230768,19.653846153846157,10.423076923076923,15.0,9.0,19.923076923076927,11.576923076923075,9.73076923076923,5.769230769230768,2.6923076923076925,21.346153846153847
10,oklahoma,23.78,117.9,94.1,69.8,0.08199999999999999,13.05,111.5,98.5,2.7,2016.0,1328.0,1328.0,82.24,23.77999999999999,117.90000000000003,94.09999999999997,69.79999999999997,0.08200000000000003,13.050000000000004,111.5,98.5,2.700000000000001,28.44,59.96,10.32,23.64,15.04,20.8,10.72,29.0,15.36,13.0,7.32,5.6,16.16,1302.88,67.88,23.77999999999999,117.90000000000003,94.09999999999997,69.79999999999997,0.08200000000000003,13.050000000000004,111.5,98.5,2.700000000000001,25.0,63.52,7.28,22.84,10.6,16.12,11.8,23.28,10.32,12.88,7.4,3.32,19.32
