Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year,TeamID,WTeamID,WScore,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,Luck_x,SOS_AdjEM_x,SOS_OppO_x,SOS_OppD_x,NCSOS_AdjEM_x,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LTeamID,LScore,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,Luck_y,SOS_AdjEM_y,SOS_OppO_y,SOS_OppD_y,NCSOS_AdjEM_y,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
1,virginia,34.22,123.4,89.2,59.4,0.05,11.18,109.2,98.1,-3.24,2019,1438,1438,72.37931034482759,34.22000000000002,123.40000000000006,89.19999999999999,59.40000000000003,0.050000000000000024,11.180000000000005,109.19999999999996,98.09999999999995,-3.2399999999999993,25.586206896551722,53.41379310344828,8.724137931034482,20.620689655172413,12.482758620689655,16.655172413793103,8.827586206896552,26.689655172413794,14.931034482758621,8.931034482758621,5.620689655172414,3.8275862068965516,14.310344827586206,1306.3793103448277,53.10344827586207,34.22000000000002,123.40000000000006,89.19999999999999,59.40000000000003,0.050000000000000024,11.180000000000005,109.19999999999996,98.09999999999995,-3.2399999999999993,19.24137931034483,52.86206896551724,5.689655172413793,21.862068965517242,8.931034482758621,13.724137931034482,9.0,20.655172413793103,8.448275862068966,10.89655172413793,5.0344827586206895,2.7241379310344827,15.931034482758621
2,gonzaga,32.85,124.5,91.6,70.2,-0.001,4.46,106.9,102.5,1.87,2019,1211,1211,90.73333333333333,32.850000000000016,124.5,91.59999999999995,70.20000000000003,-0.0010000000000000007,4.459999999999997,106.90000000000006,102.5,1.8699999999999994,32.833333333333336,60.9,8.0,21.566666666666666,17.066666666666666,22.133333333333333,9.8,29.733333333333334,18.8,10.166666666666666,7.566666666666666,5.766666666666667,15.966666666666667,1304.3666666666666,63.6,32.850000000000016,124.5,91.59999999999995,70.20000000000003,-0.0010000000000000007,4.459999999999997,106.90000000000006,102.5,1.8699999999999994,23.366666666666667,61.36666666666667,6.266666666666667,21.133333333333333,10.6,15.433333333333334,10.666666666666666,21.166666666666668,9.333333333333334,13.533333333333333,5.166666666666667,1.9,19.033333333333335
3,michigan st.,30.81,121.0,90.2,66.9,0.001,13.67,110.6,96.9,3.24,2019,1277,1277,80.03571428571429,30.809999999999977,121.0,90.2,66.90000000000003,0.0010000000000000007,13.670000000000002,110.59999999999994,96.90000000000005,3.2399999999999993,28.25,57.67857142857143,8.25,21.821428571428573,15.285714285714286,19.821428571428573,11.214285714285714,30.607142857142858,19.464285714285715,12.214285714285714,5.178571428571429,5.25,16.321428571428573,1326.8214285714287,62.857142857142854,30.809999999999977,121.0,90.2,66.90000000000003,0.0010000000000000007,13.670000000000002,110.59999999999994,96.90000000000005,3.2399999999999993,22.857142857142858,61.464285714285715,6.678571428571429,22.464285714285715,10.464285714285714,15.678571428571429,10.535714285714286,20.428571428571427,11.785714285714286,10.142857142857142,6.071428571428571,2.5714285714285716,18.071428571428573
4,duke,30.62,120.0,89.3,72.1,0.018000000000000002,12.85,110.7,97.8,5.08,2019,1181,1181,84.37931034482759,30.62,120.0,89.30000000000001,72.09999999999997,0.018000000000000013,12.850000000000005,110.69999999999996,97.80000000000003,5.080000000000001,31.03448275862069,62.96551724137931,7.241379310344827,23.103448275862068,15.068965517241379,22.17241379310345,13.206896551724139,28.517241379310345,16.413793103448278,13.10344827586207,10.068965517241379,6.724137931034483,15.586206896551724,1300.7241379310344,64.44827586206897,30.62,120.0,89.30000000000001,72.09999999999997,0.018000000000000013,12.850000000000005,110.69999999999996,97.80000000000003,5.080000000000001,24.06896551724138,63.0,6.137931034482759,21.75862068965517,10.172413793103448,14.724137931034482,12.068965517241379,22.517241379310345,11.758620689655173,15.310344827586206,6.655172413793103,2.8275862068965516,17.82758620689655
5,texas tech,30.03,114.1,84.1,66.6,0.004,11.18,109.8,98.7,-5.39,2019,1403,1403,75.88461538461539,30.02999999999998,114.09999999999994,84.09999999999997,66.59999999999997,0.004000000000000003,11.180000000000005,109.80000000000003,98.69999999999999,-5.389999999999999,27.076923076923077,55.38461538461539,7.653846153846154,19.73076923076923,14.076923076923077,19.115384615384617,8.961538461538462,25.692307692307693,15.26923076923077,11.807692307692308,7.269230769230769,5.115384615384615,17.884615384615383,1303.8076923076924,56.57692307692308,30.02999999999998,114.09999999999994,84.09999999999997,66.59999999999997,0.004000000000000003,11.180000000000005,109.80000000000003,98.69999999999999,-5.389999999999999,18.53846153846154,52.23076923076923,6.115384615384615,20.692307692307693,13.384615384615385,19.846153846153847,10.23076923076923,20.807692307692307,8.5,15.884615384615385,5.730769230769231,2.269230769230769,19.5
6,michigan,28.32,114.5,86.2,64.8,-0.001,11.27,109.2,98.0,-5.42,2019,1276,1276,72.07142857142857,28.320000000000014,114.5,86.2,64.79999999999997,-0.0010000000000000007,11.27,109.19999999999996,98.0,-5.419999999999999,26.392857142857142,57.357142857142854,8.25,22.785714285714285,11.035714285714286,16.0,8.714285714285714,27.357142857142858,14.642857142857142,8.714285714285714,6.321428571428571,4.357142857142857,13.285714285714286,1288.9285714285713,55.75,28.320000000000014,114.5,86.2,64.79999999999997,-0.0010000000000000007,11.27,109.19999999999996,98.0,-5.419999999999999,21.964285714285715,56.57142857142857,4.392857142857143,15.964285714285714,7.428571428571429,11.821428571428571,9.035714285714286,24.75,9.607142857142858,12.321428571428571,3.392857142857143,3.0714285714285716,15.428571428571429
7,north carolina,27.69,119.7,92.0,74.3,0.024,12.6,110.7,98.1,5.69,2019,1314,1314,89.48148148148148,27.690000000000015,119.69999999999995,92.0,74.29999999999997,0.024000000000000007,12.600000000000001,110.69999999999997,98.09999999999997,5.689999999999999,32.111111111111114,67.11111111111111,9.185185185185185,23.88888888888889,16.074074074074073,21.555555555555557,13.074074074074074,31.62962962962963,20.0,13.185185185185185,7.666666666666667,3.888888888888889,16.77777777777778,1293.4074074074074,71.29629629629629,27.690000000000015,119.69999999999995,92.0,74.29999999999997,0.024000000000000007,12.600000000000001,110.69999999999997,98.09999999999997,5.689999999999999,25.25925925925926,63.925925925925924,8.555555555555555,27.40740740740741,12.222222222222221,17.25925925925926,9.555555555555555,23.962962962962962,13.518518518518519,14.481481481481481,6.666666666666667,4.666666666666667,18.22222222222222
8,kentucky,27.57,117.6,90.1,65.6,0.033,11.32,110.7,99.4,1.75,2019,1246,1246,77.37037037037037,27.57000000000001,117.59999999999994,90.09999999999997,65.59999999999997,0.03300000000000002,11.319999999999995,110.69999999999997,99.40000000000003,1.75,26.962962962962962,55.148148148148145,6.296296296296297,16.40740740740741,17.14814814814815,23.11111111111111,11.777777777777779,27.14814814814815,13.703703703703704,12.555555555555555,6.555555555555555,5.407407407407407,15.703703703703704,1301.3703703703704,61.25925925925926,27.57000000000001,117.59999999999994,90.09999999999997,65.59999999999997,0.03300000000000002,11.319999999999995,110.69999999999997,99.40000000000003,1.75,22.037037037037038,56.888888888888886,7.37037037037037,21.925925925925927,9.814814814814815,14.222222222222221,9.296296296296296,18.925925925925927,10.407407407407407,13.25925925925926,5.37037037037037,2.740740740740741,19.40740740740741
9,purdue,26.81,122.5,95.6,65.9,-0.015,13.16,110.3,97.1,4.09,2019,1345,1345,79.17391304347827,26.80999999999999,122.5,95.59999999999997,65.90000000000002,-0.015000000000000008,13.160000000000002,110.3,97.09999999999997,4.0900000000000025,27.47826086956522,58.34782608695652,9.869565217391305,25.52173913043478,14.347826086956522,18.82608695652174,11.565217391304348,25.73913043478261,15.130434782608695,11.0,6.695652173913044,4.782608695652174,17.08695652173913,1270.0869565217392,62.82608695652174,26.80999999999999,122.5,95.59999999999997,65.90000000000002,-0.015000000000000008,13.160000000000002,110.3,97.09999999999997,4.0900000000000025,21.869565217391305,54.95652173913044,7.739130434782608,23.608695652173914,11.347826086956522,16.26086956521739,9.347826086956522,20.869565217391305,11.26086956521739,13.304347826086957,4.913043478260869,3.3043478260869565,17.608695652173914
10,tennessee,26.24,122.7,96.5,67.8,0.034,10.69,109.7,99.0,0.92,2019,1397,1397,82.89285714285714,26.240000000000006,122.69999999999995,96.5,67.79999999999997,0.03400000000000002,10.69,109.69999999999996,99.0,0.9200000000000007,30.107142857142858,59.5,6.75,18.321428571428573,15.928571428571429,20.75,10.178571428571429,27.214285714285715,19.0,10.785714285714286,6.285714285714286,5.642857142857143,16.785714285714285,1297.857142857143,66.78571428571429,26.240000000000006,122.69999999999995,96.5,67.79999999999997,0.03400000000000002,10.69,109.69999999999996,99.0,0.9200000000000007,23.428571428571427,59.142857142857146,7.892857142857143,23.142857142857142,12.035714285714286,18.928571428571427,11.785714285714286,21.678571428571427,12.464285714285714,13.428571428571429,5.928571428571429,2.392857142857143,19.178571428571427
