,Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,TeamID
0,1,gonzaga,36.59,126,89.4,74.7,0.018,7.93,105.9,98,6.34,1211
1,2,illinois,30.7,118.8,88.1,70.6,0.026,18.27,112.4,94.1,9.99,1228
2,3,michigan,30.5,119.3,88.8,66.8,0.026,16.75,111.3,94.6,2.73,1276
3,4,baylor,29.93,123,93,68.7,0.047,9.64,106.3,96.7,-3.71,1124
4,5,houston,29.68,119.6,89.9,65,-0.011,6.82,103.9,97.1,1.99,1222
5,6,iowa,28.72,123.5,94.7,69.9,-0.028,16.85,110.4,93.5,-5.13,1234
6,7,alabama,24.87,111.7,86.9,73.8,0.031,14.25,109.7,95.5,9.15,1104
7,8,loyola chicago,24.63,111.5,86.9,64,-0.017,5.16,104.8,99.7,5.54,1260
8,9,ohio st.,24.19,120.8,96.6,67,-0.012,18.19,111.7,93.5,2.84,1326
9,10,wisconsin,23.59,113.5,89.9,64.8,-0.049,18.12,111.7,93.6,1.39,1458
10,11,usc,22.81,113.2,90.4,67.2,-0.006,11.89,108.5,96.6,5.2,1425
11,12,villanova,22.77,118.7,96,64.7,-0.001,13.08,108.8,95.7,7.6,1437
12,13,virginia,22.66,115.6,92.9,60,0.046,12.2,109.8,97.6,0.18,1438
13,14,colorado,22.35,114.8,92.4,66.3,-0.033,11.61,108.2,96.6,2.44,1160
14,15,connecticut,21.98,113.7,91.7,65.9,-0.066,12.83,108,95.2,-1.96,1163
15,16,texas tech,21.93,112.6,90.6,65.3,-0.084,12.17,108.3,96.1,-5.12,1403
16,17,arkansas,21.9,111.5,89.6,73.1,0.057,11.4,108.4,97,-4.45,1116
17,18,florida st.,21.85,116.3,94.5,70.5,-0.011,12.48,108.9,96.4,4.42,1199
18,19,kansas,21.44,109.9,88.5,68.1,0.042,15.3,110.3,95,10.35,1242
19,20,creighton,21.39,115,93.6,69,0.001,12.77,108,95.2,-0.95,1166
20,21,west virginia,21.14,117.2,96.1,69.4,-0.042,15.12,109.3,94.1,14.2,1452
21,22,purdue,21.09,113.6,92.5,66.3,0.01,17.07,111.2,94.2,5.77,1345
22,23,texas,20.98,114.1,93.2,69.1,0.017,14.58,109.3,94.7,8.19,1400
23,24,byu,20.83,113,92.2,67.9,0.045,10.33,107.9,97.6,8.75,1140
24,25,st. bonaventure,20.61,111.2,90.6,65.1,0.014,8.24,105.9,97.7,2.7,1382
25,26,tennessee,19.74,108,88.2,67.4,-0.013,12.59,108.4,95.8,-0.45,1397
26,27,lsu,19.55,119.8,100.3,70.7,0.002,13.63,107.9,94.2,1.17,1261
27,28,oklahoma st.,19.37,109.9,90.6,72.1,0.04,15.13,110.9,95.7,5.29,1329
28,29,san diego st.,19.36,110.5,91.1,65.7,0.027,6.42,106,99.5,11.13,1361
29,30,north carolina,19.03,110.1,91,71.7,-0.005,14.86,111.1,96.2,7.8,1314
30,31,maryland,18.46,110.8,92.3,65.3,-0.035,16.97,110.2,93.2,-0.85,1268
31,32,oregon,18.35,114.9,96.5,67.2,0.048,10.88,108.1,97.2,2.92,1332
32,33,duke,18.08,114.7,96.6,68.8,-0.109,12.52,109.1,96.6,5.45,1181
33,34,rutgers,18.08,108.4,90.4,67.7,0.044,18.11,112.3,94.2,-5.44,1353
34,35,georgia tech,17.91,113.5,95.6,67.5,-0.005,12.85,108.9,96,-0.93,1210
35,36,penn st.,17.9,112.6,94.7,69.4,-0.05,19.96,112.3,92.3,11.8,1336
36,37,florida,17.59,111,93.4,68.4,0.016,14.73,109.8,95.1,8.89,1196
37,38,syracuse,17.47,115,97.6,68.9,0.018,12.18,108.7,96.6,2.41,1393
38,39,oklahoma,17.17,111.8,94.6,67.6,-0.038,13.16,108.5,95.4,1.42,1328
39,40,memphis,16.99,103.5,86.5,72,-0.09,7.39,105,97.6,1.36,1272
40,41,arizona,16.64,113.8,97.2,68,-0.017,9.96,107.5,97.5,-5.1,1112
41,42,ucla,16.64,114.4,97.8,64.6,0.033,12.65,108.9,96.2,8.82,1417
42,43,clemson,15.91,106.4,90.5,64.2,0.1,14.52,109.7,95.2,11.42,1155
43,44,vcu,15.71,105.4,89.7,69.8,0.035,8.94,106.6,97.7,5.55,1433
44,45,indiana,15.61,109.3,93.7,66.1,-0.053,18.72,111.6,92.9,8.63,1231
45,46,saint louis,15.56,111,95.5,67.7,-0.017,5.39,104.6,99.2,-1.58,1387
46,47,utah st.,15.3,104.7,89.4,68.8,-0.037,5.34,105.1,99.7,7.83,1429
47,48,missouri,15.08,110.4,95.3,68.6,0.088,15.19,109.7,94.5,10.49,1281
48,49,kentucky,14.97,108.1,93.1,68.3,-0.148,16.65,110.5,93.8,15.63,1246
49,50,drake,14.93,112.9,98,66.5,0.105,3.1,103.6,100.5,-8.78,1179
50,51,virginia tech,14.91,109.8,94.9,66,0.043,9.89,107.9,98,0.68,1439
51,52,seton hall,14.87,110.4,95.6,66.7,-0.027,14.66,109.7,95.1,11.33,1371
52,53,mississippi,14.56,106,91.4,65.2,-0.063,10.37,107.5,97.2,-6.87,1279
53,54,georgetown,14.18,107.8,93.6,69.6,0.001,14.75,110.5,95.8,4.89,1207
54,55,louisville,14.02,107.8,93.8,65.9,0.118,13.5,109.9,96.4,7.87,1257
