Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year,TeamID,WTeamID,PTS Scored,PTS Allowed,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,AST,TO,STL,BLK,PF
1,villanova,32.01,122.8,90.8,66,0.023,10.74,110.5,99.7,2.98,2016,1437,1437,77.97,60.72,26.83,56.34,8.55,24.28,15.76,20.17,9.17,27.34,16.48,11.07,6.66,3.52,17.17
2,north carolina,29.82,124.4,94.6,70.5,-0.055,11.45,111.7,100.2,3.13,2016,1314,1314,84.29,68.07,31.75,65.46,5.46,17.43,15.32,20.93,14.36,27.21,18.68,10.75,7.50,4.36,17.25
3,kansas,29.67,120,90.4,69,0.044,12.61,111.4,98.8,3.62,2016,1242,1242,81.90,65.76,28.72,57.66,8.41,19.34,16.03,22.55,10.69,26.97,16.10,12.45,6.90,4.31,18.45
4,virginia,29.64,120.6,91,61.3,-0.04,12.67,112.1,99.5,4.98,2016,1438,1438,72.31,57.73,26.19,51.69,6.15,14.15,13.77,18.35,8.73,23.35,14.96,9.46,5.77,2.96,15.73
5,michigan st.,27.97,123.4,95.5,66.5,-0.012,7.19,107.5,100.3,0.4,2016,1277,1277,81.21,60.86,29.24,59.07,9.41,21.28,13.31,18.03,12.00,30.59,21.38,11.76,4.48,5.38,18.41
6,kentucky,25.14,121.8,96.6,67.4,-0.046,8.37,108.6,100.3,3.19,2016,1246,1246,81.85,64.35,29.35,59.12,6.85,18.00,16.31,23.54,13.19,25.85,14.85,11.08,5.85,5.88,19.23
7,louisville,24.68,113.4,88.8,66.1,-0.025,7.49,110.4,102.9,-7.4,2016,1257,1257,79.70,58.09,29.70,59.83,6.39,16.96,13.91,20.43,13.26,26.74,14.70,11.30,7.39,5.17,18.35
8,west virginia,24.45,115.3,90.9,69.5,0.003,11.24,110.9,99.6,0.72,2016,1452,1452,83.65,64.00,28.46,60.88,6.46,18.54,20.27,29.92,16.19,24.31,16.12,13.73,10.50,2.77,23.19
9,purdue,23.85,116.9,93.1,67.9,-0.046,7.43,109.1,101.7,-2.67,2016,1345,1345,81.50,61.88,28.31,58.31,7.96,20.77,16.92,22.38,12.35,30.23,18.58,11.73,4.42,5.04,16.27
10,oklahoma,23.78,117.9,94.1,69.8,0.082,13.05,111.5,98.5,2.7,2016,1328,1328,82.24,67.88,28.44,59.96,10.32,23.64,15.04,20.80,10.72,29.00,15.36,13.00,7.32,5.60,16.16
11,indiana,23.05,121.7,98.7,68.2,0,6.4,108.8,102.4,-3.12,2016,1231,1231,85.28,65.88,30.48,58.72,10.28,24.24,14.04,19.52,12.20,26.36,16.52,13.32,7.16,3.84,18.04
12,oregon,22.68,119.1,96.4,68.1,0.041,9.06,109,100,1.04,2016,1332,1332,80.44,67.26,28.00,59.41,6.67,19.41,17.78,24.56,12.19,24.74,13.74,11.37,8.07,6.41,17.74
13,wichita st.,22.53,111.3,88.7,66,-0.079,3.61,104.8,101.2,6.45,2016,1455,1455,77.35,56.39,26.35,56.48,7.17,20.52,17.48,24.52,10.70,26.13,15.00,9.30,7.52,4.09,20.00
14,xavier,22.52,117.1,94.6,71.9,0.047,8.16,108.2,100,1.73,2016,1462,1462,83.22,68.52,27.85,58.85,7.70,20.26,19.81,26.85,12.07,29.11,17.04,12.78,6.96,3.22,19.74
