Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,TeamID,WTeamID,WScore,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,Luck_x,SOS_AdjEM_x,SOS_OppO_x,SOS_OppD_x,NCSOS_AdjEM_x,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LTeamID,LScore,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,Luck_y,SOS_AdjEM_y,SOS_OppO_y,SOS_OppD_y,NCSOS_AdjEM_y,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
1,gonzaga,36.59,126.0,89.4,74.7,0.018000000000000002,7.93,105.9,98.0,6.34,1211,1211.0,92.11538461538461,36.590000000000025,126.0,89.40000000000003,74.70000000000003,0.018000000000000013,7.930000000000005,105.90000000000006,98.0,6.3400000000000025,34.15384615384615,62.0,7.3076923076923075,20.03846153846154,16.5,22.73076923076923,8.23076923076923,27.26923076923077,18.307692307692307,11.923076923076923,8.307692307692308,2.8461538461538463,3.576923076923077,1317.3076923076924,69.11538461538461,6.37576923076923,105.14615384615384,98.77307692307691,68.20000000000002,0.019076923076923078,8.19076923076923,106.52692307692305,98.34615384615383,5.788076923076923,25.576923076923077,61.11538461538461,6.846153846153846,21.076923076923077,11.115384615384615,15.807692307692308,7.1923076923076925,20.884615384615383,11.461538461538462,14.461538461538462,6.0,2.8846153846153846,4.346153846153846
2,illinois,30.7,118.8,88.1,70.6,0.026,18.27,112.4,94.1,9.99,1228,1228.0,83.04347826086956,30.700000000000006,118.80000000000003,88.09999999999995,70.59999999999998,0.026000000000000013,18.269999999999996,112.40000000000005,94.09999999999997,9.990000000000004,29.73913043478261,58.65217391304348,6.913043478260869,18.26086956521739,16.652173913043477,23.652173913043477,9.608695652173912,29.82608695652174,16.652173913043477,13.173913043478262,5.782608695652174,3.0869565217391304,6.869565217391305,1300.304347826087,66.08695652173913,15.046956521739135,110.56086956521742,95.5,68.40869565217392,-0.03173913043478261,16.02304347826087,110.56521739130434,94.55217391304348,1.4821739130434781,24.26086956521739,61.34782608695652,6.391304347826087,20.565217391304348,11.173913043478262,16.782608695652176,6.521739130434782,20.47826086956522,10.782608695652174,11.26086956521739,6.956521739130435,3.5217391304347827,8.130434782608695
3,michigan,30.5,119.3,88.8,66.8,0.026,16.75,111.3,94.6,2.73,1276,1276.0,79.45,30.5,119.3,88.79999999999997,66.79999999999998,0.026000000000000013,16.75,111.29999999999998,94.59999999999997,2.7299999999999986,29.25,58.05,8.0,19.9,12.95,16.4,8.15,27.9,16.0,10.85,4.6,4.55,5.2,1306.25,64.0,14.906,110.255,95.34,67.93499999999999,-0.0201,14.854499999999996,110.10499999999999,95.25000000000001,3.036500000000001,23.25,60.7,6.65,20.55,10.85,14.45,7.25,19.8,9.5,9.65,4.65,2.55,5.1
4,baylor,29.93,123.0,93.0,68.7,0.047,9.64,106.3,96.7,-3.71,1124,1124.0,86.04545454545455,29.929999999999993,123.0,93.0,68.70000000000003,0.047000000000000014,9.639999999999997,106.3,96.70000000000003,-3.709999999999999,31.545454545454547,62.36363636363637,10.727272727272727,24.5,12.227272727272727,17.272727272727273,11.045454545454545,22.818181818181817,17.636363636363637,12.590909090909092,9.318181818181818,3.8636363636363638,3.772727272727273,1292.5454545454545,65.45454545454545,6.898636363636364,105.26818181818182,98.39090909090906,68.85909090909091,-0.011272727272727271,10.169545454545455,107.28636363636362,97.0909090909091,5.223636363636363,23.727272727272727,55.5,6.636363636363637,19.318181818181817,11.363636363636363,16.772727272727273,9.272727272727273,19.272727272727273,12.5,17.136363636363637,6.454545454545454,3.5,4.181818181818182
5,houston,29.68,119.6,89.9,65.0,-0.011,6.82,103.9,97.1,1.99,1222,1222.0,77.56521739130434,29.67999999999999,119.59999999999995,89.90000000000003,65.0,-0.011000000000000003,6.819999999999997,103.90000000000005,97.09999999999997,1.9900000000000002,27.17391304347826,61.17391304347826,9.391304347826088,25.82608695652174,13.826086956521738,18.304347826086957,13.08695652173913,25.434782608695652,14.130434782608695,10.130434782608695,8.0,4.695652173913044,5.217391304347826,1338.0,56.56521739130435,5.841304347826087,103.38260869565217,97.5391304347826,68.71739130434784,0.0035652173913043486,7.616086956521738,104.96956521739129,97.37391304347825,2.1208695652173906,18.91304347826087,51.391304347826086,5.0,18.956521739130434,13.73913043478261,21.608695652173914,7.782608695652174,19.391304347826086,9.608695652173912,14.08695652173913,4.782608695652174,2.5217391304347827,4.608695652173913
6,iowa,28.72,123.5,94.7,69.9,-0.028,16.85,110.4,93.5,-5.13,1234,1234.0,86.85714285714286,28.720000000000017,123.5,94.70000000000003,69.90000000000002,-0.028000000000000014,16.850000000000005,110.40000000000005,93.5,-5.129999999999999,30.857142857142858,62.38095238095238,10.380952380952381,25.571428571428573,14.761904761904763,20.666666666666668,9.80952380952381,28.714285714285715,20.904761904761905,9.095238095238095,5.809523809523809,5.095238095238095,3.7142857142857144,1338.095238095238,67.0,10.580952380952382,106.46666666666665,95.88571428571429,68.10952380952381,-0.021190476190476187,13.790000000000001,109.56666666666665,95.78095238095239,0.7857142857142856,25.333333333333332,64.33333333333333,8.571428571428571,26.047619047619047,7.761904761904762,11.80952380952381,10.19047619047619,22.333333333333332,15.0,11.761904761904763,5.142857142857143,2.8095238095238093,4.714285714285714
7,alabama,24.87,111.7,86.9,73.8,0.031,14.25,109.7,95.5,9.15,1104,1104.0,83.5,24.87,111.69999999999999,86.90000000000003,73.79999999999997,0.031000000000000017,14.25,109.69999999999999,95.5,9.150000000000004,29.25,65.375,11.375,31.208333333333332,13.625,18.666666666666668,11.0,26.708333333333332,15.291666666666666,13.416666666666666,8.416666666666666,4.708333333333333,4.833333333333333,1265.2916666666667,69.125,12.317500000000003,109.14583333333336,96.82499999999999,68.84583333333335,-0.031041666666666672,11.331666666666665,107.55000000000001,96.22083333333332,2.6466666666666665,24.583333333333332,62.708333333333336,6.208333333333333,21.875,13.75,19.625,10.166666666666666,23.625,10.75,14.791666666666666,7.875,4.541666666666667,4.791666666666667
8,loyola chicago,24.63,111.5,86.9,64.0,-0.017,5.16,104.8,99.7,5.54,1260,1260.0,71.68181818181819,24.63,111.5,86.90000000000003,64.0,-0.01700000000000001,5.1599999999999975,104.8,99.70000000000003,5.540000000000003,26.5,51.5,6.7272727272727275,18.363636363636363,11.954545454545455,16.136363636363637,6.045454545454546,23.681818181818183,15.727272727272727,10.5,7.590909090909091,2.272727272727273,4.636363636363637,1262.090909090909,53.31818181818182,0.6009090909090911,102.36363636363639,101.75454545454545,66.8909090909091,0.009454545454545452,5.118636363636364,104.7090909090909,99.57272727272726,1.0745454545454545,20.636363636363637,50.72727272727273,5.545454545454546,17.772727272727273,6.5,9.590909090909092,5.7727272727272725,19.818181818181817,9.545454545454545,13.454545454545455,4.409090909090909,2.727272727272727,5.2727272727272725
9,ohio st.,24.19,120.8,96.6,67.0,-0.012,18.19,111.7,93.5,2.84,1326,1326.0,80.85714285714286,24.19,120.80000000000001,96.59999999999997,67.0,-0.012000000000000002,18.19,111.70000000000002,93.5,2.840000000000001,27.095238095238095,56.80952380952381,8.523809523809524,22.095238095238095,18.142857142857142,23.476190476190474,8.476190476190476,26.0,13.571428571428571,10.0,4.761904761904762,3.8095238095238093,3.761904761904762,1298.6666666666667,68.9047619047619,14.758095238095239,109.6047619047619,94.84761904761906,67.87619047619047,0.0028095238095238086,14.38904761904762,110.0,95.60952380952382,4.538095238095238,23.761904761904763,59.285714285714285,7.761904761904762,23.428571428571427,13.619047619047619,19.285714285714285,8.285714285714286,21.047619047619047,12.619047619047619,10.142857142857142,4.476190476190476,2.619047619047619,3.5238095238095237
10,wisconsin,23.59,113.5,89.9,64.8,-0.049,18.12,111.7,93.6,1.39,1458,1458.0,73.76470588235294,23.589999999999993,113.5,89.90000000000002,64.79999999999998,-0.04900000000000001,18.12,111.70000000000003,93.59999999999998,1.3900000000000003,25.294117647058822,56.705882352941174,9.058823529411764,22.470588235294116,14.117647058823529,18.058823529411764,6.176470588235294,26.352941176470587,14.647058823529411,8.588235294117647,6.294117647058823,3.9411764705882355,1.5294117647058822,1290.8823529411766,58.294117647058826,9.293529411764709,105.68235294117646,96.38823529411764,68.2,-0.03652941176470589,13.321176470588236,109.1941176470588,95.87058823529412,3.264705882352941,21.470588235294116,55.88235294117647,6.176470588235294,20.235294117647058,9.176470588235293,13.470588235294118,6.823529411764706,23.529411764705884,11.411764705882353,12.352941176470589,4.0,3.3529411764705883,1.7647058823529411
